iter	Logloss
0	0.6317159539
1	0.5929301953
2	0.5631588363
3	0.5398974267
4	0.5181061585
5	0.5013618782
6	0.4890755592
7	0.4770910795
8	0.4706730958
9	0.4608960705
10	0.4558746999
11	0.449831495
12	0.4461863374
13	0.4420670772
14	0.4400090486
15	0.4377289092
16	0.4359667636
17	0.4334565064
18	0.4320950964
19	0.428496313
20	0.426498477
21	0.4253217356
22	0.4235881285
23	0.4221479395
24	0.4204247248
25	0.4191965855
26	0.4178361907
27	0.4170891967
28	0.4163317226
29	0.41562189
30	0.4148886937
31	0.4144320586
32	0.4137556114
33	0.4128974299
34	0.4121757802
35	0.4115975779
36	0.4109632012
37	0.4101387237
38	0.4097092035
39	0.4092871021
40	0.4084428257
41	0.4080588873
42	0.4078037302
43	0.4074715557
44	0.4070932901
45	0.40675394
46	0.4063958786
47	0.4061024397
48	0.4058709872
49	0.4055470412
50	0.4052666396
51	0.4049528742
52	0.4047160774
53	0.4045668445
54	0.4042828014
55	0.4039176214
56	0.4037386033
57	0.4034549812
58	0.4031208778
59	0.4029659438
60	0.4027414982
61	0.4024257586
62	0.4021992111
63	0.4018886839
64	0.4017155964
65	0.4015058457
66	0.4012588992
67	0.4011396356
68	0.4009426663
69	0.4008182689
70	0.4007174325
71	0.4004665888
72	0.400045084
73	0.3998995147
74	0.3996689333
75	0.3995254818
76	0.399313787
77	0.3990918308
78	0.3989067698
79	0.3986329443
80	0.3984068903
81	0.3982399452
82	0.397969513
83	0.3978199862
84	0.3976727319
85	0.3973926352
86	0.3972529009
87	0.3970861635
88	0.3969413985
89	0.3967854787
90	0.3966376558
91	0.3964352774
92	0.3961973115
93	0.3960009982
94	0.3959425332
95	0.3957670923
96	0.3956400538
97	0.3954882849
98	0.3953907877
99	0.3952447343
