iter	Passed	Remaining
0	54	5405
1	56	2757
2	57	1873
3	59	1432
4	61	1165
5	62	985
6	64	856
7	65	758
8	67	682
9	69	621
10	70	571
11	72	529
12	73	493
13	75	463
14	76	435
15	78	412
16	80	390
17	81	372
18	83	355
19	84	339
20	86	325
21	87	311
22	89	299
23	90	287
24	92	277
25	93	267
26	95	257
27	96	248
28	98	240
29	99	232
30	101	225
31	102	218
32	104	211
33	105	205
34	107	199
35	108	193
36	110	187
37	111	182
38	113	176
39	114	171
40	116	167
41	117	162
42	119	157
43	120	153
44	122	149
45	123	145
46	125	141
47	126	137
48	128	133
49	129	129
50	131	125
51	132	122
52	134	118
53	135	115
54	137	112
55	138	108
56	140	106
57	142	103
58	143	100
59	145	96
60	146	93
61	148	91
62	150	88
63	151	85
64	153	82
65	154	79
66	156	77
67	157	74
68	159	71
69	160	68
70	162	66
71	163	63
72	165	61
73	167	58
74	168	56
75	169	53
76	171	51
77	173	48
78	174	46
79	176	44
80	178	41
81	180	39
82	181	37
83	183	34
84	184	32
85	186	30
86	187	28
87	189	25
88	190	23
89	192	21
90	194	19
91	195	17
92	197	14
93	198	12
94	200	10
95	201	8
96	203	6
97	205	4
98	206	2
99	208	0
